#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
ACTPol             ,          ,     600.5 ,           ,    2239.8701 ,      62.3600 ,      62.3600 ,             
ACTPol             ,          ,     650.5 ,           ,    1865.6500 ,      50.0900 ,      50.0900 ,             
ACTPol             ,          ,     700.5 ,           ,    1869.8600 ,      47.3600 ,      47.3600 ,             
ACTPol             ,          ,     750.5 ,           ,    2260.7900 ,      51.0700 ,      51.0700 ,             
ACTPol             ,          ,     800.5 ,           ,    2471.3601 ,      52.5800 ,      52.5800 ,             
ACTPol             ,          ,     850.5 ,           ,    2405.1001 ,      49.9500 ,      49.9500 ,             
ACTPol             ,          ,     900.5 ,           ,    1891.6700 ,      39.6700 ,      39.6700 ,             
ACTPol             ,          ,     950.5 ,           ,    1330.7000 ,      29.7900 ,      29.7900 ,             
ACTPol             ,          ,    1000.5 ,           ,    1099.7200 ,      23.6100 ,      23.6100 ,             
ACTPol             ,          ,    1050.5 ,           ,    1090.9700 ,      23.9300 ,      23.9300 ,             
ACTPol             ,          ,    1100.5 ,           ,    1224.2500 ,      23.6800 ,      23.6800 ,             
ACTPol             ,          ,    1150.5 ,           ,    1229.7400 ,      23.3000 ,      23.3000 ,             
ACTPol             ,          ,    1200.5 ,           ,    1026.9900 ,      20.2600 ,      20.2600 ,             
ACTPol             ,          ,    1250.5 ,           ,     841.8900 ,      17.1300 ,      17.1300 ,             
ACTPol             ,          ,    1300.5 ,           ,     725.5100 ,      15.0200 ,      15.0200 ,             
ACTPol             ,          ,    1350.5 ,           ,     772.4300 ,      14.9400 ,      14.9400 ,             
ACTPol             ,          ,    1400.5 ,           ,     828.6300 ,      15.1200 ,      15.1200 ,             
ACTPol             ,          ,    1450.5 ,           ,     817.2500 ,      14.3100 ,      14.3100 ,             
ACTPol             ,          ,    1500.5 ,           ,     689.8000 ,      13.1900 ,      13.1900 ,             
ACTPol             ,          ,    1550.5 ,           ,     530.7000 ,      11.0700 ,      11.0700 ,             
ACTPol             ,          ,    1600.5 ,           ,     444.5700 ,       9.1900 ,       9.1900 ,             
ACTPol             ,          ,    1650.5 ,           ,     394.2100 ,       8.6000 ,       8.6000 ,             
ACTPol             ,          ,    1700.5 ,           ,     398.7900 ,       8.3200 ,       8.3200 ,             
ACTPol             ,          ,    1750.5 ,           ,     394.9500 ,       8.2900 ,       8.2900 ,             
ACTPol             ,          ,    1800.5 ,           ,     355.9600 ,       7.9500 ,       7.9500 ,             
ACTPol             ,          ,    1850.5 ,           ,     314.7100 ,       6.9800 ,       6.9800 ,             
ACTPol             ,          ,    1900.5 ,           ,     256.7600 ,       6.1200 ,       6.1200 ,             
ACTPol             ,          ,    1950.5 ,           ,     250.9300 ,       5.9500 ,       5.9500 ,             
ACTPol             ,          ,    2000.5 ,           ,     230.1500 ,       5.7500 ,       5.7500 ,             
ACTPol             ,          ,    2075.5 ,           ,     218.8100 ,       3.7900 ,       3.7900 ,             
ACTPol             ,          ,    2175.5 ,           ,     158.6200 ,       3.1900 ,       3.1900 ,             
ACTPol             ,          ,    2275.5 ,           ,     117.4900 ,       2.6600 ,       2.6600 ,             
ACTPol             ,          ,    2375.5 ,           ,     108.6200 ,       2.4900 ,       2.4900 ,             
ACTPol             ,          ,    2475.5 ,           ,      85.7500 ,       2.2600 ,       2.2600 ,             
ACTPol             ,          ,    2625.5 ,           ,      63.5800 ,       1.4100 ,       1.4100 ,             
ACTPol             ,          ,    2825.5 ,           ,      41.1900 ,       1.2200 ,       1.2200 ,             
ACTPol             ,          ,    3025.5 ,           ,      24.8100 ,       1.1100 ,       1.1100 ,             
ACTPol             ,          ,    3325.5 ,           ,      13.3200 ,       0.7800 ,       0.7800 ,             
ACTPol             ,          ,    3725.5 ,           ,       3.9700 ,       0.7800 ,       0.7800 ,             
ACTPol             ,          ,    4125.5 ,           ,       0.6200 ,       0.8000 ,       0.8000 ,             
Planck unbinned    ,          ,       2.0 ,           ,     225.8950 ,     132.3690 ,     533.0620 ,             
Planck unbinned    ,          ,       3.0 ,           ,     936.9200 ,     450.4710 ,    1212.3080 ,             
Planck unbinned    ,          ,       4.0 ,           ,     692.2380 ,     294.1110 ,     666.4690 ,             
Planck unbinned    ,          ,       5.0 ,           ,    1501.7050 ,     574.4320 ,    1155.8040 ,             
Planck unbinned    ,          ,       6.0 ,           ,     557.6110 ,     201.2420 ,     375.7630 ,             
Planck unbinned    ,          ,       7.0 ,           ,    1152.6429 ,     381.5840 ,     670.8240 ,             
Planck unbinned    ,          ,       8.0 ,           ,     615.8460 ,     191.9970 ,     323.4460 ,             
Planck unbinned    ,          ,       9.0 ,           ,     697.8210 ,     214.6380 ,     349.5810 ,             
Planck unbinned    ,          ,      10.0 ,           ,     803.6580 ,     232.8460 ,     367.9450 ,             
Planck unbinned    ,          ,      11.0 ,           ,     869.5800 ,     240.2600 ,     371.0430 ,             
Planck unbinned    ,          ,      12.0 ,           ,     764.0740 ,     204.9510 ,     310.5760 ,             
Planck unbinned    ,          ,      13.0 ,           ,     599.0030 ,     158.5930 ,     235.5810 ,             
Planck unbinned    ,          ,      14.0 ,           ,     808.1390 ,     199.3700 ,     290.7510 ,             
Planck unbinned    ,          ,      15.0 ,           ,    1022.1110 ,     243.4870 ,     349.7000 ,             
